LTspice 24.1.8 for Windows
Circuit: C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_ADCcap_FULL.net
Start Time: Mon May 26 14:18:35 2025
solver = Normal
Maximum thread count: 8
tnom = 27
temp = 27
method = trap
.OP point found by inspection.
Total elapsed time: 0.770 seconds.

Files loaded:
C:\Users\sweeks\Downloads\nerf_crossbar_latency_256x256_ADCcap_FULL.net

latency_y69=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y70=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y71=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y72=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y73=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y74=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y75=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y76=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y77=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y78=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y79=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y80=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y81=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y82=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y83=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y84=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y85=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y86=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y87=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y88=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y89=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y90=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y91=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y92=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y93=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y94=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y95=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y96=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y97=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y98=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y99=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y100=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y101=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y102=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y103=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y104=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y105=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y106=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y107=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y108=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y109=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y110=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y111=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y112=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y113=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y114=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y115=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y116=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y117=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y118=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y119=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y120=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y121=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y122=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y123=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y124=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y125=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y126=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y127=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
latency_y128=3.02877767206e-10 FROM 1.0499999984e-08 TO 1.08028777512e-08
